사업장명칭,주사육업종,사업장소재지(도로명),사육두수
용산목장,젖소,경상남도 진주시 사봉면 지사로 468,180
동지농장,돼지,경상남도 진주시 진성면 진성로276번길 1-24,2400
태원농장,돼지,경상남도 진주시 수곡면 원창길 306,2800
상대농장,돼지,경상남도 진주시 수곡면 사곡로 545,2000
유곡목장,한우,경상남도 진주시 나불로 176-13,12
대평한우목장,한우,경상남도 진주시 대평면 신풍길 143-8,25
이화농장,돼지,경상남도 진주시 대곡면 월암로 268-15,1200
종합가축,종계/산란계,경상남도 진주시 진주대로 409-7 (가좌동),1000
별지산방농장,종계/산란계,경상남도 진주시 금곡면 송곡길 147,10000
온누리농장,한우,경상남도 진주시 금곡면 정자천로 20,250
상인농원,한우,경상남도 진주시 금곡면 월아산로 537,120
광현농장,돼지,경상남도 진주시 수곡면 곤수로 1526-9,900
대우농장,한우,경상남도 진주시 수곡면 사곡로 572,27
상인담농장,돼지,경상남도 진주시 금곡면 무선산로464번길 102-2,1700
호야축산,한우,경상남도 진주시 금곡면 무선산로 439,60
중촌농장,한우,,190
중촌농장,한우,경상남도 진주시 대곡면 덕곡길 220-12,100
백암축산,한우,경상남도 진주시 진성면 대사길19번길 84-1,16
성화축산,육계,경상남도 진주시 진성면 동부로1391번길 12-11,20000
두원축산,한우,경상남도 진주시 진성면 진성로 414-53,35
옥산농장,돼지,경상남도 진주시 문산읍 문정로 493-27,50
정가한우농장,한우,,250
갈곡농장,한우,경상남도 진주시 문산읍 문산로 767-10,53
갈촌목장,한우,경상남도 진주시 문산읍 문산로 681-11,3
덕성농장,한우,경상남도 진주시 판문로 446 (판문동),35
신왕농장,돼지,경상남도 진주시 금곡면 무선산로 454,1200
우식농장,한우,경상남도 진주시 명석면 진주대로2623번길 5-18,70
외율농장,한우,경상남도 진주시 명석면 진주대로 2563,80
쌍세농장,한우,경상남도 진주시 명석면 진주대로 2477-30,70
가화농장,한우,경상남도 진주시 명석면 신풍길 37,12
덕진목장,젖소,경상남도 진주시 명석면 판문로575번길 29-2,79
대일축산,육계,경상남도 진주시 일반성면 남산길 88-17,60000
행복한양계농장,육계,경상남도 진주시 일반성면 일사로 273,45000
성원,육계,경상남도 진주시 일반성면 남산길 88-37,50000
환주농장,돼지,경상남도 진주시 대곡면 월암로 268-29,1500
선영돼지농장,돼지,,23
정부농장,돼지,,30
선학산 상미농장,육계,경상남도 진주시 선학산길59번길 83 (상대동),700
만연목장,한우,경상남도 진주시 내동면 산유로488번길 9-19,8
황산농장,한우,,16
무동농장,한우,경상남도 진주시 지수면 청담길175번길 34-17,11
천애농장,돼지,경상남도 진주시 지수면 용봉로 791,900
지수농장,한우,경상남도 진주시 지수면 용봉로292번길 100-37,41
해창목장,한우,,30
영일목장,젖소,경상남도 진주시 금산면 송백로 12,55
신벌농장,돼지,경상남도 진주시 지수면 지사로754번길 29-38,4000
형제목장,한우,경상남도 진주시 내동면 산유로488번길 9-6,20
진성목장,젖소,경상남도 진주시 진성면 진의로 131,70
경진목장2,한우,경상남도 진주시 진성면 진의로94번길 43-43,10
동진목장,젖소,경상남도 진주시 진성면 진의로94번길 43-37,110
하촌목장,한우,경상남도 진주시 진성면 진의로 175,38
가진목장(1호),한우,경상남도 진주시 진성면 진의로 430-2,80
월아목장,젖소,경상남도 진주시 진성면 진의로 314,127
백암목장,젖소,경상남도 진주시 진성면 대사길19번길 35,90
수플농장,육계,경상남도 진주시 진성면 대사길19번길 69-63,30000
진성농장,육계,경상남도 진주시 진성면 대사길19번길 69-82,30000
진주목장,젖소,경상남도 진주시 대곡면 마진한실로 319,28
사타골목장,한우,,70
진양농장,한우,경상남도 진주시 진성면 대사길19번길 69-30,40
조양목장,한우,경상남도 진주시 진성면 일사로 589-21,130
한일농장,한우,경상남도 진주시 진성면 일사로 567-20,106
피골목장,한우,경상남도 진주시 진성면 일사로 590-184,50
영남축산,돼지,경상남도 진주시 진성면 대사길19번길 69-49,1700
홍종판목장,한우,경상남도 진주시 일반성면 일사로375번길 28-5,10
현진농장,한우,경상남도 진주시 일반성면 반성로 66-30,40
매화농장,한우,,4
원호농장,한우,경상남도 진주시 일반성면 남산길 25,30
임마누엘농장,종계/산란계,경상남도 진주시 일반성면 반성로127번길 23-1,12000
벧엘축산,한우,경상남도 진주시 일반성면 반성로127번길 72,14
삼솔농장,한우,경상남도 진주시 이반성면 장안로65번길 92-20,120
민희영농조합법인,종계/산란계,경상남도 진주시 이반성면 반성로 163-60,200000
늘봄축산,돼지,경상남도 진주시 이반성면 오봉산로1018번길 1-43,1500
혜진목장,한우,,17
서덕순축산,한우,경상남도 진주시 이반성면 길성길 25,5
성현농장,한우,경상남도 진주시 이반성면 장안로 95-12,24
손재선농장,한우,경상남도 진주시 이반성면 진마대로2520번길 77-14,14
정은농장,한우,경상남도 진주시 이반성면 오봉산로880번길 12,75
오봉산농장,한우,경상남도 진주시 이반성면 오봉산로 1062-73,120
수익농장2,한우,경상남도 진주시 이반성면 길성길 138,26
영봉농장,한우,경상남도 진주시 이반성면 하곡로 145,60
천금목장,젖소,경상남도 진주시 사봉면 동부로1602번길 81-26,35
사봉목장,젖소,경상남도 진주시 사봉면 동부로1751번길 39,30
민들레목장,젖소,경상남도 진주시 사봉면 부계길 61-19,40
쌍순농장,한우,경상남도 진주시 사봉면 금평로 133-71,3
우리목장,젖소,경상남도 진주시 사봉면 지사로349번길 22-16,55
농심목장,젖소,경상남도 진주시 사봉면 지사로349번길 28,55
남양목장,젖소,경상남도 진주시 사봉면 지사로349번길 22-25,50
못골목장,한우,경상남도 진주시 사봉면 금평로 100-14,17
들판목장,한우,경상남도 진주시 사봉면 동부로 1744-23,25
